,Username,Caption,Followers,Hashtags,Likes,Time since posted (hours)
34,gsmusicgroupllc,gsmusicgroupllc#Repost @savageland32with @get_repost #SkrappdaGawd New Music on ALL Platforms,226,#youtube #applemusic #itunes#soundcloud #spinrilla #spotify #bigdata#blockchain #dontbandwagonlater,273,2
35,iotatokennews,"Bartosz Kusmierz, Research Scientist at #IOTA Foundation,spoke at the #Wrocław #Blockchain Meetup yesterday about IOTA!",1168,#IOTA #Wroclaw #Blockchain,13,2
36,bitpainting,"At 12 Noon EST today, BitPainting will be releasing a new work of rare #blockchain art! From Picasso to Van Gogh, build your iconic art collection on the #ethereum network!",835,#blockchain #ethereum,93,2
37,_linda_smith567,Hello ......You could see the excitement in her face .....one of my client who just cash out and still willing to invest more.Dm me for your trading help,124,#любовь #gm #sme #smenigeria #profits#businessowners #businessplan#entrepreneurship #entrepreneur#blockchain #crypto #cointelegraph#bitcoinprice #mining #cryptocurrencies#bch #bitcoins #litecoin #investment#investor #stockmarket #stocks #getrich#makemoney #makemoneyonline#mentorship #mentoring #xrp #bitfinex#altcoins,24,2
38,litebit.eu,"As a safety measure for your account, we ask you to enable 2FA security before any withdrawal or sell can be made. Note: withdrawals and sell orders can only be made 24 hours after setting up 2FA. For questions please contact our support channels 👨‍🔧 #LiteBit",193,#bitcoin #litecoin #blockchain#cryptocurrency #ripple #coins #tech#litebiteu #ethereum #reddcoin #verge #Litebit,18,2
39,mikequindazzi,1 in 3 #Smartphones will ship w/ #MachineLearning and #ArtificialIntelligence at the chipset level by 2020 >> @MikeQuindazzi >> #IoT #AI 2018 Report >> https://buff.ly/2HV0VAQ,1600,#MachineLearning #artificialintelligence#AI #IoT,136,14
40,meganbloemsma,"Together with my colleague Valery we introduced potential partners to #Azure @spacesworks #zuidas. It's great to see there's such an interest in Data & AI, and a lot of fun to come up with new ways to apply it with these companies. 🤓",258,#techtaster #datagirl#womanintech #technicalevangelist#technicalevangelism #datascientist#datascience #datagirl #ai#artificialintelligence #advancedanalytics#cognitiveservices #faceAPI #demo#everydaytechday #womeninmicrosoft#womenintech  #luis #azureML#cognitiveservices #datainsights#microsoftpartner,24,2
41,ricmiqads,One rare and remarkable approach in the overheated #ai market by @ibm ,105,#ai #artificialintelligence,8,2
42,hollympeck,Still on set. 🙃 Can't tell you what it's for!,273,#artificialintelligence,41,2
43,artificial_quotes,Well... Allright then? Do you agree?😂😂,914,#quote #quotes #quoteoftheday#quoteoftheday #quotesoftheday#quoted #quotedaily #quotegram#quotesdaily #quoteslife #quotetoday#quotesofinstagram #quotefortheday#quotesforyou #artificial#artificialintelligence #meme #memes#funnymeme #funnymemes #memesdaily#inspiring #funnyquote #funnyquotes#funnypost #funnypic #ridiculous #wtfisthis,81,2
44,interwall,CEBIT 2018: Europas Business-Festival für Innovation und Digitalisierung,118,#cebit18 #cebit #hannover #cebit2018#ceyouinabit #messehannover#hannovermesse #artificialintelligence#künstlicheintelligenz #informatik,16,2
45,entrancegmbh,Greetings from #CEBIT2018#Pepper is getting ready for #afterwork#party #festival #tradefair maybe we get on #stage with #digitalism,122,#hannover #cebit#digitalisierung #entrancegmbh #wuppertal#startup #iot #AI #artificialintelligence,31,2
46,usccareercenter,Today we’re hosting Career Services and Academic advising professionals from across @uscedu campus and international offices. Today’s topic is on “In the Age of Artificial Intelligence: the Next Generation of Career Services.”,1180, #AI #machinelearning #artificialintelligence #careerservices #studentlearning,24,2
47,_ehab.othman_,"""If you can imagine it, you can create it & if you dream it, you can become it "" ~ 🍀🖤. Try out nodemon for running #pythonscripts automatically on changes instead of manually restarting everytime ... rock solid 🤖☕👌",3139,#worldcode #coding#python #codeaholics #rstudio #codinglife#worldofprogrammers #datascience#machinelearning #dataviz #data #statistics#macbookpro #peoplewhocode#codeismylife #datavisualization#artificialintelligence #digitalnomads#digitalnomad #travel,51,3
48,anki7singh,asdsads,3725,#IoT #CyberSecurity #BigData#infosec #DigitalTransformation #AI#Security #Healthcare #mobile #Analytics#tech #innovation #TechNews #Defstar5#artificialintelligence #Infographics#BigData #CIO #blockchain #chatbots#startups #robots #robotics #startup #ml#machinelearning #artificialintelligence,43,3
49,mbnsolutions,"@pedrodoc82 and @michaely76 from MBN are working in London today. Great to be talking Data Science, Analytics, Technology with our clients. If you are looking for a new job, register with us - www.mbnsolutions.com/jobs",935,#machinelearning #artificialintelligence#blockchain #data #datascience #analytics#technology #london  #hiring,20,4
50,triatebr,Imagine having access to the data of the air we breathe?,1766,#blockchain #tech #startups #projetos#linux #ethereum #programmer#InternetdasCoisas #smartcontract#internetofthings #technology #disruption#mobile #nodemcu #hyperledger #chain#programming #smartcontracts#hyperledgerfabric #artificialintelligence#iot #fintech #industry40 #cloud#mobilelegends #drones#personaldevelopment #healthy,25,4
